cohort,n,events,patients,score_state,bin,bin_n,bin_events,observed_rate,mean_predicted,raw_edge_low,raw_edge_high
external_article_saved,290920,3619,203825,raw,1,4060,27,0.006650246305418719,0.08160104687513055,0.0,0.1338507563620805
external_article_saved,290920,3619,203825,calibrated,1,4060,27,0.006650246305418719,1.7220258059942492e-05,0.0,0.1338507563620805
external_article_saved,290920,3619,203825,raw,2,7201,17,0.0023607832245521455,0.16114286963282878,0.1338507563620805,0.1819882136583328
external_article_saved,290920,3619,203825,calibrated,2,7201,17,0.0023607832245521455,8.18666292544588e-05,0.1338507563620805,0.1819882136583328
external_article_saved,290920,3619,203825,raw,3,12708,24,0.0018885741265344666,0.2065638131872836,0.1819882136583328,0.22768356263637538
external_article_saved,290920,3619,203825,calibrated,3,12708,24,0.0018885741265344666,0.00019856570181042796,0.1819882136583328,0.22768356263637538
external_article_saved,290920,3619,203825,raw,4,18710,42,0.0022447888829502938,0.25181100265467665,0.22768356263637538,0.27316781133413315
external_article_saved,290920,3619,203825,calibrated,4,18710,42,0.0022447888829502938,0.00042142776018416316,0.22768356263637538,0.27316781133413315
external_article_saved,290920,3619,203825,raw,5,24114,77,0.003193165795803268,0.29602778984639627,0.27316781133413315,0.3169072508811951
external_article_saved,290920,3619,203825,calibrated,5,24114,77,0.003193165795803268,0.0008095347248982184,0.27316781133413315,0.3169072508811951
external_article_saved,290920,3619,203825,raw,6,33740,114,0.0033787788974510968,0.34214692258562535,0.3169072508811951,0.36583569169044494
external_article_saved,290920,3619,203825,calibrated,6,33740,114,0.0033787788974510968,0.0015166784677580186,0.3169072508811951,0.36583569169044494
external_article_saved,290920,3619,203825,raw,7,43127,199,0.004614278758086582,0.39274210860243,0.36583569169044494,0.4185954880714416
external_article_saved,290920,3619,203825,calibrated,7,43127,199,0.004614278758086582,0.002883492673950508,0.36583569169044494,0.4185954880714416
external_article_saved,290920,3619,203825,raw,8,57945,448,0.007731469496936751,0.45096895529659164,0.4185954880714416,0.48265295743942266
external_article_saved,290920,3619,203825,calibrated,8,57945,448,0.007731469496936751,0.0058594677790173065,0.4185954880714416,0.48265295743942266
external_article_saved,290920,3619,203825,raw,9,65428,818,0.01250229259644189,0.5189371490048298,0.48265295743942266,0.5635710269212724
external_article_saved,290920,3619,203825,calibrated,9,65428,818,0.01250229259644189,0.013129105012455126,0.48265295743942266,0.5635710269212724
external_article_saved,290920,3619,203825,raw,10,23887,1853,0.07757357558504625,0.6158645936490141,0.5635710269212724,1.0
external_article_saved,290920,3619,203825,calibrated,10,23887,1853,0.07757357558504625,0.054061204199294687,0.5635710269212724,1.0
