cohort,n,events,patients,score_state,metric,estimate,ci_lower,ci_upper,ci_method
external_article_saved,290920,3619,203825,raw,mean_predicted,0.4098855372972846,0.4092167839833579,0.4105258878683902,patient_cluster_bootstrap_conditional
external_article_saved,290920,3619,203825,raw,brier,0.18178538076771725,0.181267831486511,0.1823074178897121,patient_cluster_bootstrap_conditional
external_article_saved,290920,3619,203825,raw,null_brier,0.012285096237127393,0.011882668978388185,0.012676560706495723,patient_cluster_bootstrap_conditional
external_article_saved,290920,3619,203825,raw,brier_skill,-13.797228874637117,-14.297426430673816,-13.336763902818253,patient_cluster_bootstrap_conditional
external_article_saved,290920,3619,203825,raw,observed_expected_ratio,0.03034956072810231,0.02934340153783233,0.03132876082944906,patient_cluster_bootstrap_conditional
external_article_saved,290920,3619,203825,raw,log_loss,0.5472432801625833,0.5461041311159128,0.5483747386406456,patient_cluster_bootstrap_conditional
external_article_saved,290920,3619,203825,raw,auroc,0.802124933033528,,,point_estimate_only
external_article_saved,290920,3619,203825,raw,average_precision,0.10867794766916042,,,point_estimate_only
external_article_saved,290920,3619,203825,raw,auprc_trapezoidal,0.10855553012110225,,,point_estimate_only
external_article_saved,290920,3619,203825,raw,calibration_intercept_joint,-4.144976795619401,-4.180037979942241,-4.109915611296562,patient_cluster_robust_wald
external_article_saved,290920,3619,203825,raw,calibration_slope,2.3508902122549014,2.233600857056358,2.468179567453445,patient_cluster_robust_wald
external_article_saved,290920,3619,203825,raw,calibration_in_the_large,-4.120888876240597,-4.15352745763177,-4.088250294849424,patient_cluster_robust_wald
external_article_saved,290920,3619,203825,calibrated,mean_predicted,0.00926720710333788,0.009119330379014771,0.00942669303444325,patient_cluster_bootstrap_conditional
external_article_saved,290920,3619,203825,calibrated,brier,0.012067509821937874,0.011678492351115066,0.012460927726879546,patient_cluster_bootstrap_conditional
external_article_saved,290920,3619,203825,calibrated,null_brier,0.012285096237127393,0.011882668978388185,0.012676560706495723,patient_cluster_bootstrap_conditional
external_article_saved,290920,3619,203825,calibrated,brier_skill,0.017711413161904277,0.007495349478021748,0.026473121698239278,patient_cluster_bootstrap_conditional
external_article_saved,290920,3619,203825,calibrated,observed_expected_ratio,1.3423511384885505,1.2972382391226982,1.3866282032028332,patient_cluster_bootstrap_conditional
external_article_saved,290920,3619,203825,calibrated,log_loss,0.0592198957973913,0.05739637849973249,0.06094952954859165,patient_cluster_bootstrap_conditional
external_article_saved,290920,3619,203825,calibrated,auroc,0.802124933033528,,,point_estimate_only
external_article_saved,290920,3619,203825,calibrated,average_precision,0.10867794766916042,,,point_estimate_only
external_article_saved,290920,3619,203825,calibrated,auprc_trapezoidal,0.10855553012110225,,,point_estimate_only
external_article_saved,290920,3619,203825,calibrated,calibration_intercept_joint,-0.49770539478874054,-0.6745974218836773,-0.32081336769380375,patient_cluster_robust_wald
external_article_saved,290920,3619,203825,calibrated,calibration_slope,0.7969724666046758,0.7572106113158091,0.8367343218935425,patient_cluster_robust_wald
external_article_saved,290920,3619,203825,calibrated,calibration_in_the_large,0.32670093041655557,0.2899378792984796,0.36346398153463155,patient_cluster_robust_wald
external_article_saved,290920,3619,203825,observed,prevalence,0.012439846005774783,0.012027325538098373,0.012841463901654622,patient_cluster_bootstrap_conditional
external_article_saved,290920,3619,203825,paired,brier_calibrated_minus_raw,-0.16971787094577936,-0.17031865110736505,-0.16913534355706525,patient_cluster_bootstrap_conditional
