model,cohort,feature,n,missing_n,missing_fraction
clinical_logistic,train,temperature_c,126849,0,0.0
clinical_logistic,train,resprate,126849,0,0.0
clinical_logistic,train,o2sat,126849,0,0.0
clinical_logistic,train,sbp,126849,0,0.0
clinical_logistic,train,age,126849,0,0.0
clinical_logistic,train,gender_clean,126849,0,0.0
clinical_logistic,val,temperature_c,17889,0,0.0
clinical_logistic,val,resprate,17889,0,0.0
clinical_logistic,val,o2sat,17889,0,0.0
clinical_logistic,val,sbp,17889,0,0.0
clinical_logistic,val,age,17889,0,0.0
clinical_logistic,val,gender_clean,17889,0,0.0
clinical_logistic,test,temperature_c,35948,0,0.0
clinical_logistic,test,resprate,35948,0,0.0
clinical_logistic,test,o2sat,35948,0,0.0
clinical_logistic,test,sbp,35948,0,0.0
clinical_logistic,test,age,35948,0,0.0
clinical_logistic,test,gender_clean,35948,0,0.0
clinical_xgboost,train,temperature_c,126849,0,0.0
clinical_xgboost,train,resprate,126849,0,0.0
clinical_xgboost,train,o2sat,126849,0,0.0
clinical_xgboost,train,sbp,126849,0,0.0
clinical_xgboost,train,age,126849,0,0.0
clinical_xgboost,train,gender_clean,126849,0,0.0
clinical_xgboost,val,temperature_c,17889,0,0.0
clinical_xgboost,val,resprate,17889,0,0.0
clinical_xgboost,val,o2sat,17889,0,0.0
clinical_xgboost,val,sbp,17889,0,0.0
clinical_xgboost,val,age,17889,0,0.0
clinical_xgboost,val,gender_clean,17889,0,0.0
clinical_xgboost,test,temperature_c,35948,0,0.0
clinical_xgboost,test,resprate,35948,0,0.0
clinical_xgboost,test,o2sat,35948,0,0.0
clinical_xgboost,test,sbp,35948,0,0.0
clinical_xgboost,test,age,35948,0,0.0
clinical_xgboost,test,gender_clean,35948,0,0.0
clinical_ecg_xgboost,train,temperature_c,126849,0,0.0
clinical_ecg_xgboost,train,resprate,126849,0,0.0
clinical_ecg_xgboost,train,o2sat,126849,0,0.0
clinical_ecg_xgboost,train,sbp,126849,0,0.0
clinical_ecg_xgboost,train,age,126849,0,0.0
clinical_ecg_xgboost,train,gender_clean,126849,0,0.0
clinical_ecg_xgboost,train,pr_interval,126849,11839,0.09333144131999464
clinical_ecg_xgboost,train,qrs_duration,126849,140,0.001103674447571522
clinical_ecg_xgboost,train,qt_interval,126849,125,0.0009854236139031447
clinical_ecg_xgboost,train,qrs_axis,126849,1470,0.011588581699500982
clinical_ecg_xgboost,val,temperature_c,17889,0,0.0
clinical_ecg_xgboost,val,resprate,17889,0,0.0
clinical_ecg_xgboost,val,o2sat,17889,0,0.0
clinical_ecg_xgboost,val,sbp,17889,0,0.0
clinical_ecg_xgboost,val,age,17889,0,0.0
clinical_ecg_xgboost,val,gender_clean,17889,0,0.0
clinical_ecg_xgboost,val,pr_interval,17889,1634,0.0913410475711331
clinical_ecg_xgboost,val,qrs_duration,17889,13,0.0007267035608474481
clinical_ecg_xgboost,val,qt_interval,17889,9,0.0005031024652020795
clinical_ecg_xgboost,val,qrs_axis,17889,174,0.009726647660573537
clinical_ecg_xgboost,test,temperature_c,35948,0,0.0
clinical_ecg_xgboost,test,resprate,35948,0,0.0
clinical_ecg_xgboost,test,o2sat,35948,0,0.0
clinical_ecg_xgboost,test,sbp,35948,0,0.0
clinical_ecg_xgboost,test,age,35948,0,0.0
clinical_ecg_xgboost,test,gender_clean,35948,0,0.0
clinical_ecg_xgboost,test,pr_interval,35948,3378,0.09396906642928675
clinical_ecg_xgboost,test,qrs_duration,35948,36,0.0010014465338822743
clinical_ecg_xgboost,test,qt_interval,35948,31,0.0008623567375097363
clinical_ecg_xgboost,test,qrs_axis,35948,407,0.011321909424724603
clinical_logistic,external,temperature_c,290920,94477,0.324752509280902
clinical_logistic,external,resprate,290920,290920,1.0
clinical_logistic,external,o2sat,290920,60608,0.20833218754296715
clinical_logistic,external,sbp,290920,5386,0.018513680736972363
clinical_logistic,external,age,290920,851,0.0029252028048948166
clinical_logistic,external,gender_clean,290920,855,0.0029389522892891515
clinical_xgboost,external,temperature_c,290920,94477,0.324752509280902
clinical_xgboost,external,resprate,290920,290920,1.0
clinical_xgboost,external,o2sat,290920,60608,0.20833218754296715
clinical_xgboost,external,sbp,290920,5386,0.018513680736972363
clinical_xgboost,external,age,290920,851,0.0029252028048948166
clinical_xgboost,external,gender_clean,290920,855,0.0029389522892891515
clinical_ecg_xgboost,external,temperature_c,290920,94477,0.324752509280902
clinical_ecg_xgboost,external,resprate,290920,290920,1.0
clinical_ecg_xgboost,external,o2sat,290920,60608,0.20833218754296715
clinical_ecg_xgboost,external,sbp,290920,5386,0.018513680736972363
clinical_ecg_xgboost,external,age,290920,851,0.0029252028048948166
clinical_ecg_xgboost,external,gender_clean,290920,855,0.0029389522892891515
clinical_ecg_xgboost,external,pr_interval,290920,26174,0.08996975113433246
clinical_ecg_xgboost,external,qrs_duration,290920,60,0.00020624226591502818
clinical_ecg_xgboost,external,qt_interval,290920,231,0.0007940327237728586
clinical_ecg_xgboost,external,qrs_axis,290920,154,0.0005293551491819057
