model,config_id,max_depth,n_estimators,fold,average_precision,auroc,n,events
clinical_xgboost,0,2,200,0,0.03502557846486732,0.8090185535098859,42283,365
clinical_xgboost,0,2,200,1,0.027892417524277135,0.7998372505570986,42284,366
clinical_xgboost,0,2,200,2,0.038023171834056076,0.8111082533944282,42282,365
clinical_xgboost,1,2,500,0,0.03677971093427022,0.8109192310884852,42283,365
clinical_xgboost,1,2,500,1,0.02835890313451086,0.8021032541545463,42284,366
clinical_xgboost,1,2,500,2,0.03690012766042435,0.8115659419577044,42282,365
clinical_xgboost,2,3,200,0,0.03644020029557901,0.8099792680687081,42283,365
clinical_xgboost,2,3,200,1,0.028419691715829466,0.8021958106081168,42284,366
clinical_xgboost,2,3,200,2,0.03715779404657495,0.8119383347587421,42282,365
clinical_xgboost,3,3,500,0,0.037396785629050584,0.8102781555901378,42283,365
clinical_xgboost,3,3,500,1,0.027855425227506298,0.7998259417228066,42284,366
clinical_xgboost,3,3,500,2,0.03296361937153663,0.8104908558694432,42282,365
clinical_ecg_xgboost,0,2,200,0,0.04823074897941974,0.8300732937823161,42283,365
clinical_ecg_xgboost,0,2,200,1,0.0392128227739959,0.8374322154338798,42284,366
clinical_ecg_xgboost,0,2,200,2,0.0484388250266321,0.8373397395570699,42282,365
clinical_ecg_xgboost,1,2,500,0,0.05122818890757166,0.8339871320850166,42283,365
clinical_ecg_xgboost,1,2,500,1,0.03998827239699655,0.8411658580361294,42284,366
clinical_ecg_xgboost,1,2,500,2,0.04681057957859909,0.8382742020189278,42282,365
clinical_ecg_xgboost,2,3,200,0,0.05093268767095741,0.8341140922884668,42283,365
clinical_ecg_xgboost,2,3,200,1,0.04123484931422313,0.8405865002631991,42284,366
clinical_ecg_xgboost,2,3,200,2,0.049156097459202866,0.8420620855107991,42282,365
clinical_ecg_xgboost,3,3,500,0,0.05274270716024314,0.8343750061274229,42283,365
clinical_ecg_xgboost,3,3,500,1,0.04100498145468031,0.838675144316369,42284,366
clinical_ecg_xgboost,3,3,500,2,0.04423846872015254,0.8391883372914707,42282,365
