domain,stage,n,patients,mortality_positive
A,parent,35948,19595,302
A,diagnoses_ascertainable,35906,19580,295
A,no_AMI_HF_AF,26239,16164,140
A,no_AMI_HF_AF_adjusted,26238,16163,140
B,parent,35948,19595,302
B,original_mortality_negative,35646,19414,0
B,icu_parent_eligible,35879,19558,292
B,icu_mortality_negative_eligible,35587,19383,0
B,icu_mortality_negative_first_parent,19370,19370,0
B,icu_mortality_negative_landmark60,35270,19188,0
B,imv_parent_eligible,35313,19308,264
B,imv_mortality_negative_eligible,35049,19148,0
B,imv_mortality_negative_first_parent,19031,19031,0
B,imv_mortality_negative_landmark60,34876,19032,0
B,pressor_parent_eligible,35317,19312,266
B,pressor_mortality_negative_eligible,35051,19150,0
B,pressor_mortality_negative_first_parent,19033,19033,0
B,pressor_mortality_negative_landmark60,34895,19047,0
