subset,endpoint,stratum_or_contrast,effect,n,patients,events,estimate,ci_low,ci_high,n_boot,n_boot_valid,seed
principal24,icu24,Low,proportion,26973,16023,2055,0.07618729840952063,0.072392677017312,0.08000803728839079,2000,2000,202609070
principal24,icu24,Intermediate,proportion,6985,4544,1853,0.26528274874731567,0.253591076482678,0.277312667937123,2000,2000,202609070
principal24,icu24,High,proportion,1629,1254,784,0.4812768569674647,0.4549461693859172,0.5086803259937088,2000,2000,202609070
principal24,icu24,High_minus_Low,absolute_difference,35587,19383,4692,0.40508955855794404,0.3789211623949439,0.4321726771404475,2000,2000,202609070
principal24,icu24,Intermediate_minus_Low,absolute_difference,35587,19383,4692,0.18909545033779504,0.17684671193407075,0.2010716755157397,2000,2000,202609070
principal24,icu24,Total,proportion,35587,19383,4692,0.13184589878326355,0.12740569274847957,0.13630242586675018,2000,2000,202609070
principal24,imv24,Low,proportion,26756,15913,341,0.01274480490357303,0.011388849343582664,0.014229701789438543,2000,2000,202609071
principal24,imv24,Intermediate,proportion,6749,4424,451,0.0668247147725589,0.06055564992443719,0.07335088534761831,2000,2000,202609071
principal24,imv24,High,proportion,1544,1190,287,0.18588082901554404,0.16603283170413102,0.20621983931468396,2000,2000,202609071
principal24,imv24,High_minus_Low,absolute_difference,35049,19148,1079,0.17313602411197102,0.1534173435575911,0.19349223543325025,2000,2000,202609071
principal24,imv24,Intermediate_minus_Low,absolute_difference,35049,19148,1079,0.054079909868985865,0.04791431315653489,0.06072073399981863,2000,2000,202609071
principal24,imv24,Total,proportion,35049,19148,1079,0.030785471768096095,0.02885609193363272,0.03285446632874991,2000,2000,202609071
principal24,pressor24,Low,proportion,26756,15913,232,0.008670952309762297,0.0074817112113804395,0.009869253330488189,2000,2000,202609072
principal24,pressor24,Intermediate,proportion,6751,4426,326,0.04828914234928159,0.04273511152152762,0.0541258976615977,2000,2000,202609072
principal24,pressor24,High,proportion,1544,1190,238,0.15414507772020725,0.13519897959183674,0.17279234192785112,2000,2000,202609072
principal24,pressor24,High_minus_Low,absolute_difference,35051,19150,796,0.14547412541044494,0.12612540763847643,0.16420266046832327,2000,2000,202609072
