subset,endpoint,score,adjustment,n,patients,events,design_columns,n_parameters,rank,condition_number,score_min,score_max,warnings,status,beta,se,or,ci_low,ci_high,p,q,iterations,min_fitted_probability,max_fitted_probability,extreme_fitted_n
full_reference,sepsis,ecg,M2,35905,19579,1503,intercept;score_z;male;age;age_nonlinear;temperature_c;temperature_c_nonlinear;resprate;resprate_nonlinear;o2sat;o2sat_nonlinear;sbp;sbp_nonlinear,13,13,9.004620383328575,-3.4118933227059,3.469210838440378,,ok,0.9520264911888178,0.04569068745705239,2.590954890069209,2.369015313662233,2.833686723618483,2.0277997182315822e-96,2.433359661877414e-96,8,7.820068269756721e-05,0.95997220576481,0
full_reference,respiratory_failure,ecg,M2,35905,19579,1720,intercept;score_z;male;age;age_nonlinear;temperature_c;temperature_c_nonlinear;resprate;resprate_nonlinear;o2sat;o2sat_nonlinear;sbp;sbp_nonlinear,13,13,9.004620383328575,-3.4118933227059,3.469210838440378,,ok,1.0115241669474662,0.04081760202045003,2.7497889600879164,2.5383725239112045,2.9788138871636676,1.4168357005454755e-135,2.8336714010885284e-135,8,1.0990632004193138e-06,0.9644513652916841,0
full_reference,aki,ecg,M2,35905,19579,5059,intercept;score_z;male;age;age_nonlinear;temperature_c;temperature_c_nonlinear;resprate;resprate_nonlinear;o2sat;o2sat_nonlinear;sbp;sbp_nonlinear,13,13,9.004620383328575,-3.4118933227059,3.469210838440378,,ok,0.5820278770703798,0.02487518349439394,1.7896639719641183,1.704502728423836,1.8790800854323786,4.4857434728443265e-121,6.728615209267254e-121,6,0.0038407718429581713,0.8024439009032766,0
exclude_any_cardiac,sepsis,ecg,M2,26238,16163,778,intercept;score_z;male;age;age_nonlinear;temperature_c;temperature_c_nonlinear;resprate;resprate_nonlinear;o2sat;o2sat_nonlinear;sbp;sbp_nonlinear,13,13,8.50333146975708,-3.4118933227059,2.8324869051468555,,ok,0.9870609277862794,0.05669622956805692,2.683336352149209,2.40112735850315,2.9987138971479,6.972135587260843e-68,6.972135587260843e-68,8,0.0002272774460256821,0.9541725531579709,0
exclude_any_cardiac,respiratory_failure,ecg,M2,26238,16163,747,intercept;score_z;male;age;age_nonlinear;temperature_c;temperature_c_nonlinear;resprate;resprate_nonlinear;o2sat;o2sat_nonlinear;sbp;sbp_nonlinear,13,13,8.50333146975708,-3.4118933227059,2.8324869051468555,,ok,1.1688609050281198,0.05373375549521815,3.218324572448952,2.8966204040663572,3.575757817313039,6.4956330805486554e-105,1.9486899241645966e-104,8,2.8063482764884893e-06,0.8168401766869017,0
exclude_any_cardiac,aki,ecg,M2,26238,16163,2338,intercept;score_z;male;age;age_nonlinear;temperature_c;temperature_c_nonlinear;resprate;resprate_nonlinear;o2sat;o2sat_nonlinear;sbp;sbp_nonlinear,13,13,8.50333146975708,-3.4118933227059,2.8324869051468555,,ok,0.5891358252102756,0.03251956794674847,1.80243012750185,1.6911328727133124,1.9210521047432072,2.3679878546853493e-73,3.5519817820280244e-73,7,0.003195523968483273,0.7676349576566179,0
exclude_any_cardiac_M1,sepsis,ecg,M1,26238,16163,778,intercept;score_z;male;age;age_nonlinear,5,5,5.61458771984926,-3.4118933227059,2.8324869051468555,,ok,1.13116311899627,0.05438347148266554,3.0992592117909625,2.785906944079068,3.447856606368588,4.349859686488043e-96,,8,0.0004164515132496048,0.35137097992927574,0
exclude_any_cardiac_M1,respiratory_failure,ecg,M1,26238,16163,747,intercept;score_z;male;age;age_nonlinear,5,5,5.61458771984926,-3.4118933227059,2.8324869051468555,,ok,1.2614718024557343,0.053006648307213376,3.5306140316303436,3.1822251373815655,3.9171444200839463,3.4721528082119766e-125,,8,0.00024592463856569415,0.3839633600081663,0
exclude_any_cardiac_M1,aki,ecg,M1,26238,16163,2338,intercept;score_z;male;age;age_nonlinear,5,5,5.61458771984926,-3.4118933227059,2.8324869051468555,,ok,0.6400359838172145,0.03204728060334365,1.8965491231540927,1.7810880970724547,2.0194950392676936,9.725529575367122e-89,,7,0.003345394504243261,0.47232839780702496,0
exclude_AMI,sepsis,ecg,M2,34656,19056,1370,intercept;score_z;male;age;age_nonlinear;temperature_c;temperature_c_nonlinear;resprate;resprate_nonlinear;o2sat;o2sat_nonlinear;sbp;sbp_nonlinear,13,13,8.93901928371678,-3.4118933227059,3.469210838440378,,ok,0.9211691629338825,0.04660254453802893,2.5122258749463056,2.2929285745652264,2.7524969232617478,5.785374574059632e-87,,8,0.0002668891018289793,0.9568971301380942,0
