lead,endpoint_present_mean_share_percent,endpoint_absent_mean_share_percent,endpoint_present_n,endpoint_absent_n
I,13.18247786786622,14.030241061383371,95,96
II,8.827134956995545,8.732500663995856,95,96
III,9.928534770587271,8.73574757021114,95,96
aVR,15.355720792273607,15.912924697737138,95,96
aVL,3.5127455110947476,3.461810432294111,95,96
aVF,3.446186747060412,3.007269734405791,95,96
V1,7.379579924660121,7.7255242710854,95,96
V2,8.122829273448868,7.9785170095130376,95,96
V3,7.116494029894207,6.24547868242313,95,96
V4,6.0183808752625305,6.366778065221584,95,96
V5,9.880615193416222,9.900128287876864,95,96
V6,7.229300057440251,7.90307952385258,95,96
