lead,time_from_QRS_s,high_risk_median_mV,low_risk_median_mV,high_risk_mean_absolute_IG,high_risk_n,low_risk_n
I,-0.4,-0.0022922810167074203,-0.0073211644776165485,0.0001313884779907656,507,1022
I,-0.39,-0.0027963793836534023,-0.009150786325335503,0.00013243785958091795,507,1022
I,-0.38,-0.00200019299518317,-0.009893477661535144,0.00012624444813944975,507,1022
I,-0.37,-3.004400059580803e-05,-0.0104619893245399,0.00012016761617488061,507,1022
I,-0.36,-0.000664001505356282,-0.012173217022791505,0.0001183787539801037,507,1022
I,-0.35,-0.000648822053335607,-0.012485932325944304,0.0001289997998986128,507,1022
I,-0.34,0.0013388702645897865,-0.01290630386210978,0.00012489744535394018,507,1022
I,-0.33,-0.0010623505804687738,-0.013970360392704606,0.0001190205446890006,507,1022
I,-0.32,0.0010478324838913977,-0.014328800374642015,0.00011857300206386375,507,1022
I,-0.31,0.0004849285469390452,-0.01576144341379404,0.00011368511621743268,507,1022
I,-0.3,0.0017336117452941835,-0.01564751914702356,0.00011736669354451555,507,1022
I,-0.29,0.003072163090109825,-0.017244467278942466,0.00011073417981101479,507,1022
I,-0.28,0.0031672464683651924,-0.0165564501658082,0.00010810545401657521,507,1022
I,-0.27,0.0019258513348177075,-0.01687052403576672,0.00010433406274951313,507,1022
I,-0.26,0.0006669433787465096,-0.015918230637907982,0.00010399507567550765,507,1022
I,-0.25,0.000812962360214442,-0.016111656092107296,0.00010206008444309692,507,1022
I,-0.24,0.0005309860571287572,-0.016110039316117764,0.0001022965602530107,507,1022
I,-0.23,0.0006193388253450394,-0.016818562988191843,0.00010043201890232403,507,1022
I,-0.22,0.0013685395242646337,-0.014591162092983723,0.00010358349777188935,507,1022
I,-0.21,0.0017152272630482912,-0.013814287958666682,0.0001049814068718912,507,1022
I,-0.2,0.0018861248972825706,-0.011782158864662051,9.882377572633238e-05,507,1022
I,-0.19,0.0033756813500076532,-0.00955763307865709,0.00010261198094776171,507,1022
I,-0.18,0.002887353766709566,-0.0033703108492773026,0.00010322862065666821,507,1022
I,-0.17,0.004082801926415414,0.0014655953273177147,0.00010340993459347754,507,1022
I,-0.16,0.005611490574665368,0.008854601997882128,0.00010074638404214334,507,1022
I,-0.15,0.005788810551166534,0.014675703831017017,9.913600722054448e-05,507,1022
I,-0.14,0.005672217346727848,0.018739763996563852,9.772544571108711e-05,507,1022
I,-0.13,0.005145509727299213,0.01643671956844628,9.531973982609981e-05,507,1022
I,-0.12,0.002337748883292079,0.009605396538972855,9.134607464364158e-05,507,1022
I,-0.11,-0.001694051141384989,-0.00397320045158267,8.805300615086076e-05,507,1022
I,-0.1,-0.003980434965342283,-0.016243550926446915,7.784143151007614e-05,507,1022
I,-0.09,-0.005613903049379587,-0.024824657943099737,7.48971964228449e-05,507,1022
