risk,prefix_selected_n,retained_n,lead,waveform_max_absolute_difference_mV,waveform_RMS_difference_mV,full_waveform_peak_to_peak_mV,IG_relative_L1,IG_temporal_spearman,IG_peak_time_difference_ms
high,128,127,I,0.07191149890422821,0.009351991481076854,0.3408330976963043,0.0817834735960419,0.9487908790879086,0.0
high,128,127,II,0.0456976518034935,0.00932810102239186,0.3157117962837219,0.05930351395616022,0.9387338733873387,0.0
high,128,127,III,0.0857783779501915,0.011523446829104464,0.1638470683246851,0.059583185302718326,0.9279567956795679,0.0
high,128,127,aVR,0.019684843719005585,0.004700085273191932,0.3026059828698635,0.0435174662059212,0.9335733573357335,0.0
high,128,127,aVL,0.0798448771238327,0.012083180954749905,0.2460064310580492,0.10567036422363504,0.9398979897989799,0.0
high,128,127,aVF,0.07205537334084511,0.011319796325780326,0.1242938730865717,0.07081287099386233,0.886156615661566,0.0
high,128,127,V1,0.03239193558692932,0.006133354532996122,0.4012928605079651,0.09839726483930011,0.9178277827782778,0.0
high,128,127,V2,0.06784846633672714,0.010758265980441493,0.5016383975744247,0.07399807355805241,0.9604920492049204,10.0
high,128,127,V3,0.11517319083213806,0.015665814732756515,0.526288166642189,0.1251985237559181,0.9432823282328231,-10.0
high,128,127,V4,0.08336733281612396,0.01102962391727233,0.43250536918640137,0.1026077101810879,0.9706690669066905,0.0
high,128,127,V5,0.08106109499931335,0.012182860736612072,0.4477514773607254,0.061699636622091256,0.9637683768376836,0.0
high,128,127,V6,0.0728631317615509,0.011088015700722029,0.3739036340266466,0.07762361967860823,0.9479387938793877,0.0
high,256,254,I,0.016520813427632675,0.0025101738437543633,0.3408330976963043,0.033243144772199314,0.9844824482448243,0.0
high,256,254,II,0.024569474160671234,0.00488653428273443,0.3157117962837219,0.03125412145258056,0.9851665166516651,0.0
high,256,254,III,0.018250249326229095,0.0035897285793338655,0.1638470683246851,0.025043807314753228,0.9873267326732673,0.0
high,256,254,aVR,0.012120727449655533,0.0026240458600871467,0.3026059828698635,0.023150754678381708,0.9644644464446444,0.0
high,256,254,aVL,0.023288998752832413,0.003557423317405042,0.2460064310580492,0.03633696236926035,0.9861866186618661,0.0
high,256,254,aVF,0.016628784127533436,0.00294414493256216,0.1242938730865717,0.037637966460468526,0.9748334833483346,0.0
high,256,254,V1,0.010086502879858017,0.0027275390964157926,0.4012928605079651,0.03918933384974022,0.9845064506450644,0.0
high,256,254,V2,0.03661397099494934,0.004944482051380216,0.5016383975744247,0.04550268379365678,0.9926792679267925,0.0
high,256,254,V3,0.06744905561208725,0.010384329671005707,0.526288166642189,0.07419943921848864,0.9878307830783076,0.0
high,256,254,V4,0.03643767349421978,0.005963482267469546,0.43250536918640137,0.04806657157806443,0.9866906690669065,0.0
high,256,254,V5,0.029050923883914948,0.00450844029163896,0.4477514773607254,0.032049720181950334,0.9935073507350735,0.0
high,256,254,V6,0.027541685849428177,0.005361385215814969,0.3739036340266466,0.03960059331525695,0.9845304530453043,0.0
high,512,507,I,0.0,0.0,0.3408330976963043,0.0,0.9999999999999999,0.0
high,512,507,II,0.0,0.0,0.3157117962837219,0.0,0.9999999999999999,0.0
high,512,507,III,0.0,0.0,0.1638470683246851,0.0,0.9999999999999999,0.0
high,512,507,aVR,0.0,0.0,0.3026059828698635,0.0,0.9999999999999999,0.0
high,512,507,aVL,0.0,0.0,0.2460064310580492,0.0,0.9999999999999999,0.0
high,512,507,aVF,0.0,0.0,0.1242938730865717,0.0,0.9999999999999999,0.0
high,512,507,V1,0.0,0.0,0.4012928605079651,0.0,0.9999999999999999,0.0
high,512,507,V2,0.0,0.0,0.5016383975744247,0.0,0.9999999999999999,0.0
high,512,507,V3,0.0,0.0,0.526288166642189,0.0,0.9999999999999999,0.0
high,512,507,V4,0.0,0.0,0.43250536918640137,0.0,0.9999999999999999,0.0
high,512,507,V5,0.0,0.0,0.4477514773607254,0.0,0.9999999999999999,0.0
high,512,507,V6,0.0,0.0,0.3739036340266466,0.0,0.9999999999999999,0.0
low,256,255,I,0.021685272455215454,0.005818498018978311,0.6738519575446844,,,
low,256,255,II,0.009245472960174084,0.003178815689141201,0.6538018137216568,,,
low,256,255,III,0.014081225875997916,0.0025391785692273966,0.12095852658967488,,,
low,256,255,aVR,0.01564004458487034,0.00407206462857116,0.691791701130569,,,
low,256,255,aVL,0.02228027582168579,0.003679961181172343,0.3545524440705776,,,
low,256,255,aVF,0.02077035838738084,0.0034814550797243283,0.2746229711920023,,,
low,256,255,V1,0.03498077392578125,0.005231373095978917,0.6650439919903874,,,
low,256,255,V2,0.033563464879989624,0.007834097413565066,0.792748287320137,,,
low,256,255,V3,0.02007293701171875,0.005457224045316659,0.7792197465896606,,,
low,256,255,V4,0.02564648538827896,0.0061729833227760844,0.9702181667089462,,,
low,256,255,V5,0.019131023436784744,0.004977972270263504,0.965146329253912,,,
low,256,255,V6,0.01978239417076111,0.004382901914360564,0.8260286245495081,,,
low,512,510,I,0.018882788717746735,0.003591948702146804,0.6738519575446844,,,
low,512,510,II,0.008143424987792969,0.002310362915182336,0.6538018137216568,,,
low,512,510,III,0.02251448668539524,0.003085508705696311,0.12095852658967488,,,
low,512,510,aVR,0.012701010331511497,0.0029341846881673073,0.691791701130569,,,
low,512,510,aVL,0.02210678532719612,0.002823037640276693,0.3545524440705776,,,
low,512,510,aVF,0.030906274914741516,0.003959512461527713,0.2746229711920023,,,
low,512,510,V1,0.01754482090473175,0.00291200069750214,0.6650439919903874,,,
low,512,510,V2,0.03522695600986481,0.005935342431463841,0.792748287320137,,,
low,512,510,V3,0.026014670729637146,0.004940598027923623,0.7792197465896606,,,
low,512,510,V4,0.015390325337648392,0.0038830325592389297,0.9702181667089462,,,
low,512,510,V5,0.030111216008663177,0.0044800480776369805,0.965146329253912,,,
low,512,510,V6,0.014215126633644104,0.002675316341728257,0.8260286245495081,,,
low,1024,1022,I,0.0,0.0,0.6738519575446844,,,
low,1024,1022,II,0.0,0.0,0.6538018137216568,,,
low,1024,1022,III,0.0,0.0,0.12095852658967488,,,
low,1024,1022,aVR,0.0,0.0,0.691791701130569,,,
low,1024,1022,aVL,0.0,0.0,0.3545524440705776,,,
low,1024,1022,aVF,0.0,0.0,0.2746229711920023,,,
low,1024,1022,V1,0.0,0.0,0.6650439919903874,,,
low,1024,1022,V2,0.0,0.0,0.792748287320137,,,
low,1024,1022,V3,0.0,0.0,0.7792197465896606,,,
low,1024,1022,V4,0.0,0.0,0.9702181667089462,,,
low,1024,1022,V5,0.0,0.0,0.965146329253912,,,
low,1024,1022,V6,0.0,0.0,0.8260286245495081,,,
