domain,endpoint,score,adjustment,subset,n,patients,events,status,beta,se,or,ci_low,ci_high,p,q,design_columns,converged
phenotype,ami,ecg,M1,all,35905,19579,1249,ok,0.5932130335608417,0.04411755818687087,1.8097940125145413,1.6598781705308798,1.9732498600701067,3.241523663247075e-41,,intercept;score_z;male;age;age_nonlinear,True
phenotype,ami,ecg,M2,all,35905,19579,1249,ok,0.5690859761650163,0.04492297512583517,1.7666515516172483,1.6177536688747183,1.9292539803062756,8.890992826178392e-37,8.890992826178392e-37,intercept;score_z;male;age;age_nonlinear;temperature_c;temperature_c_nonlinear;resprate;resprate_nonlinear;o2sat;o2sat_nonlinear;sbp;sbp_nonlinear,True
phenotype,ami,fusion,M2,all,35905,19579,1249,ok,0.6945923529179668,0.04922899252799347,2.002892434245643,1.818669701468912,2.2057760680338747,3.323168427742565e-45,,intercept;score_z;male;age;age_nonlinear;temperature_c;temperature_c_nonlinear;resprate;resprate_nonlinear;o2sat;o2sat_nonlinear;sbp;sbp_nonlinear,True
phenotype,ami,ecg_single,M2,single_run,35905,19579,1249,ok,0.4486566145912037,0.03943176310353169,1.5662067523044911,1.4497219494746323,1.6920510804524487,5.378833487724999e-30,,intercept;score_z;male;age;age_nonlinear;temperature_c;temperature_c_nonlinear;resprate;resprate_nonlinear;o2sat;o2sat_nonlinear;sbp;sbp_nonlinear,True
phenotype,ami,ecg,M2,first_encounter,19572,19572,711,ok,0.5878331562914887,0.05245755212797854,1.8000836864462,1.6242046395945822,1.9950080175971872,3.8153301965388026e-29,,intercept;score_z;male;age;age_nonlinear;temperature_c;temperature_c_nonlinear;resprate;resprate_nonlinear;o2sat;o2sat_nonlinear;sbp;sbp_nonlinear,True
phenotype,heart_failure,ecg,M1,all,35905,19579,6249,ok,1.0240145822345346,0.03496057121248255,2.7843503599425574,2.599952359990841,2.981826531213657,1.368112687994548e-188,,intercept;score_z;male;age;age_nonlinear,True
phenotype,heart_failure,ecg,M2,all,35905,19579,6249,ok,0.9810752088743337,0.035273639416284606,2.667322629632615,2.489147160574566,2.8582520644974623,2.9979136366938347e-170,8.993740910081504e-170,intercept;score_z;male;age;age_nonlinear;temperature_c;temperature_c_nonlinear;resprate;resprate_nonlinear;o2sat;o2sat_nonlinear;sbp;sbp_nonlinear,True
phenotype,heart_failure,fusion,M2,all,35905,19579,6249,ok,0.9296232249640852,0.036047767720951085,2.5335544177075757,2.3607300124333412,2.7190309580845473,1.1888590032045022e-146,,intercept;score_z;male;age;age_nonlinear;temperature_c;temperature_c_nonlinear;resprate;resprate_nonlinear;o2sat;o2sat_nonlinear;sbp;sbp_nonlinear,True
phenotype,heart_failure,ecg_single,M2,single_run,35905,19579,6249,ok,0.8144017303600742,0.03017362352196544,2.25782448036255,2.128170126556575,2.3953777569337102,1.909683505087815e-160,,intercept;score_z;male;age;age_nonlinear;temperature_c;temperature_c_nonlinear;resprate;resprate_nonlinear;o2sat;o2sat_nonlinear;sbp;sbp_nonlinear,True
phenotype,heart_failure,ecg,M2,first_encounter,19572,19572,2042,ok,0.9639709424630144,0.034535468901682714,2.6220879882488974,2.4504769209542783,2.805717270514719,1.882022640043462e-171,,intercept;score_z;male;age;age_nonlinear;temperature_c;temperature_c_nonlinear;resprate;resprate_nonlinear;o2sat;o2sat_nonlinear;sbp;sbp_nonlinear,True
phenotype,af_flutter,ecg,M1,all,35905,19579,5769,ok,0.9082842177371946,0.03074919933371799,2.4800636315658653,2.3350116828953835,2.634126270832556,9.236714886497078e-192,,intercept;score_z;male;age;age_nonlinear,True
phenotype,af_flutter,ecg,M2,all,35905,19579,5769,ok,0.8704158456397849,0.030703285554086353,2.3879036464052588,2.2484442030812684,2.5360130425746807,8.54433620296252e-177,5.126601721777512e-176,intercept;score_z;male;age;age_nonlinear;temperature_c;temperature_c_nonlinear;resprate;resprate_nonlinear;o2sat;o2sat_nonlinear;sbp;sbp_nonlinear,True
phenotype,af_flutter,fusion,M2,all,35905,19579,5769,ok,0.730582729361583,0.03230068681056088,2.076290170461513,1.9489183893052093,2.2119863487418616,2.8708409291065975e-113,,intercept;score_z;male;age;age_nonlinear;temperature_c;temperature_c_nonlinear;resprate;resprate_nonlinear;o2sat;o2sat_nonlinear;sbp;sbp_nonlinear,True
phenotype,af_flutter,ecg_single,M2,single_run,35905,19579,5769,ok,0.7955517204127476,0.026822150010960964,2.2156630861996693,2.1021933927878296,2.3352575116971246,2.5015858527853892e-193,,intercept;score_z;male;age;age_nonlinear;temperature_c;temperature_c_nonlinear;resprate;resprate_nonlinear;o2sat;o2sat_nonlinear;sbp;sbp_nonlinear,True
phenotype,af_flutter,ecg,M2,first_encounter,19572,19572,2472,ok,0.8642651332004947,0.031216703690120817,2.37326141398518,2.232409550941235,2.5230001980309575,1.0298831959386477e-168,,intercept;score_z;male;age;age_nonlinear;temperature_c;temperature_c_nonlinear;resprate;resprate_nonlinear;o2sat;o2sat_nonlinear;sbp;sbp_nonlinear,True
phenotype,sepsis,ecg,M1,all,35905,19579,1503,ok,1.0762148130336642,0.04341869553027568,2.933554456972401,2.6942388486403615,3.1941272602336266,1.2412058035598154e-135,,intercept;score_z;male;age;age_nonlinear,True
phenotype,sepsis,ecg,M2,all,35905,19579,1503,ok,0.9520264911888177,0.04569068745705236,2.5909548900692085,2.3690153136622327,2.8336867236184826,2.027799718231178e-96,2.4333596618774135e-96,intercept;score_z;male;age;age_nonlinear;temperature_c;temperature_c_nonlinear;resprate;resprate_nonlinear;o2sat;o2sat_nonlinear;sbp;sbp_nonlinear,True
phenotype,sepsis,fusion,M2,all,35905,19579,1503,ok,1.255135548223384,0.05163618915817481,3.5083138878289186,3.170630541736239,3.881961702416848,1.641754812986924e-130,,intercept;score_z;male;age;age_nonlinear;temperature_c;temperature_c_nonlinear;resprate;resprate_nonlinear;o2sat;o2sat_nonlinear;sbp;sbp_nonlinear,True
phenotype,sepsis,ecg_single,M2,single_run,35905,19579,1503,ok,0.8502169673363349,0.04066446235906301,2.340154533944634,2.16088116585184,2.5343009737339286,4.517969765081053e-97,,intercept;score_z;male;age;age_nonlinear;temperature_c;temperature_c_nonlinear;resprate;resprate_nonlinear;o2sat;o2sat_nonlinear;sbp;sbp_nonlinear,True
phenotype,sepsis,ecg,M2,first_encounter,19572,19572,711,ok,1.0516215107828117,0.05646697696622666,2.862288589003077,2.562410122269593,3.197261787071284,2.066173915364863e-77,,intercept;score_z;male;age;age_nonlinear;temperature_c;temperature_c_nonlinear;resprate;resprate_nonlinear;o2sat;o2sat_nonlinear;sbp;sbp_nonlinear,True
phenotype,respiratory_failure,ecg,M1,all,35905,19579,1720,ok,1.0893416985248592,0.0397812048588069,2.972316747879173,2.7493704817334628,3.2133417116462293,4.332808867650236e-165,,intercept;score_z;male;age;age_nonlinear,True
phenotype,respiratory_failure,ecg,M2,all,35905,19579,1720,ok,1.0115241669474677,0.04081760202045004,2.749788960087921,2.5383725239112085,2.9788138871636725,1.4168357005442642e-135,2.8336714010885284e-135,intercept;score_z;male;age;age_nonlinear;temperature_c;temperature_c_nonlinear;resprate;resprate_nonlinear;o2sat;o2sat_nonlinear;sbp;sbp_nonlinear,True
phenotype,respiratory_failure,fusion,M2,all,35905,19579,1720,ok,1.4768822342560406,0.047675782126365834,4.379270833921627,3.9885965148290574,4.8082108494893845,1.0793093426239734e-210,,intercept;score_z;male;age;age_nonlinear;temperature_c;temperature_c_nonlinear;resprate;resprate_nonlinear;o2sat;o2sat_nonlinear;sbp;sbp_nonlinear,True
phenotype,respiratory_failure,ecg_single,M2,single_run,35905,19579,1720,ok,0.9356298753421401,0.03602262205410821,2.548818390087799,2.3750698165280233,2.735277565501876,9.896225966145651e-149,,intercept;score_z;male;age;age_nonlinear;temperature_c;temperature_c_nonlinear;resprate;resprate_nonlinear;o2sat;o2sat_nonlinear;sbp;sbp_nonlinear,True
phenotype,respiratory_failure,ecg,M2,first_encounter,19572,19572,882,ok,1.183871754581499,0.050991867799368616,3.266998764951936,2.9562735227744086,3.610383426287564,3.075589012118452e-119,,intercept;score_z;male;age;age_nonlinear;temperature_c;temperature_c_nonlinear;resprate;resprate_nonlinear;o2sat;o2sat_nonlinear;sbp;sbp_nonlinear,True
phenotype,aki,ecg,M1,all,35905,19579,5059,ok,0.6459291935177208,0.02436299871453288,1.907758883134459,1.8188030019557442,2.001065509714282,6.916293072968639e-155,,intercept;score_z;male;age;age_nonlinear,True
phenotype,aki,ecg,M2,all,35905,19579,5059,ok,0.5820278770703806,0.024875183494393983,1.7896639719641196,1.7045027284238372,1.8790800854323801,4.485743472844836e-121,6.728615209267254e-121,intercept;score_z;male;age;age_nonlinear;temperature_c;temperature_c_nonlinear;resprate;resprate_nonlinear;o2sat;o2sat_nonlinear;sbp;sbp_nonlinear,True
phenotype,aki,fusion,M2,all,35905,19579,5059,ok,0.7119135665254313,0.02882588959417159,2.037887162579178,1.9259432757490478,2.1563376968046026,1.1513115788876291e-134,,intercept;score_z;male;age;age_nonlinear;temperature_c;temperature_c_nonlinear;resprate;resprate_nonlinear;o2sat;o2sat_nonlinear;sbp;sbp_nonlinear,True
phenotype,aki,ecg_single,M2,single_run,35905,19579,5059,ok,0.5171392436818881,0.022551213493564707,1.6772226547096352,1.6047045801471345,1.753017887699496,2.2403299157327966e-116,,intercept;score_z;male;age;age_nonlinear;temperature_c;temperature_c_nonlinear;resprate;resprate_nonlinear;o2sat;o2sat_nonlinear;sbp;sbp_nonlinear,True
phenotype,aki,ecg,M2,first_encounter,19572,19572,2243,ok,0.6443572098119816,0.03069292159509639,1.9047622731837848,1.7935559059075121,2.0228638011194224,7.492352659674245e-98,,intercept;score_z;male;age;age_nonlinear;temperature_c;temperature_c_nonlinear;resprate;resprate_nonlinear;o2sat;o2sat_nonlinear;sbp;sbp_nonlinear,True
icu,icu24,ecg,M1,all,35878,19557,4944,ok,1.0421440758271499,0.025343163742497756,2.83528957785377,2.6978964793267304,2.9796795584582023,0.0,,intercept;score_z;male;age;age_nonlinear,True
icu,icu24,ecg,M2,all,35878,19557,4944,ok,0.981574007921547,0.025623249490572576,2.668653419489651,2.5379416075376136,2.806097292468247,0.0,0.0,intercept;score_z;male;age;age_nonlinear;temperature_c;temperature_c_nonlinear;resprate;resprate_nonlinear;o2sat;o2sat_nonlinear;sbp;sbp_nonlinear,True
icu,icu24,fusion,M2,all,35878,19557,4944,ok,1.4804461319526303,0.03147122053784675,4.394905951590362,4.132008767665151,4.674529849615664,0.0,,intercept;score_z;male;age;age_nonlinear;temperature_c;temperature_c_nonlinear;resprate;resprate_nonlinear;o2sat;o2sat_nonlinear;sbp;sbp_nonlinear,True
icu,icu24,ecg_single,M2,single_run,35878,19557,4944,ok,0.9320114369281572,0.023551898253024627,2.5396123135699646,2.4250461729130035,2.659590887495883,0.0,,intercept;score_z;male;age;age_nonlinear;temperature_c;temperature_c_nonlinear;resprate;resprate_nonlinear;o2sat;o2sat_nonlinear;sbp;sbp_nonlinear,True
icu,icu24,ecg,M2,first_encounter,19544,19544,2900,ok,1.047802282193664,0.030087916581587697,2.851377703439243,2.6880903899899016,3.02458385995755,1.029106603174775e-265,,intercept;score_z;male;age;age_nonlinear;temperature_c;temperature_c_nonlinear;resprate;resprate_nonlinear;o2sat;o2sat_nonlinear;sbp;sbp_nonlinear,True
icu,icu24,ecg,M2,landmark60,35542,19351,4763,ok,0.9707691498900795,0.025967299595493737,2.6399742145380234,2.508974685629573,2.7778135400663944,7.032775005222187e-306,,intercept;score_z;male;age;age_nonlinear;temperature_c;temperature_c_nonlinear;resprate;resprate_nonlinear;o2sat;o2sat_nonlinear;sbp;sbp_nonlinear,True
icu,icu24,fusion,M2,landmark60,35542,19351,4763,ok,1.462192758816426,0.031923593339173,4.315411818573157,4.05367414278529,4.594049375435275,0.0,,intercept;score_z;male;age;age_nonlinear;temperature_c;temperature_c_nonlinear;resprate;resprate_nonlinear;o2sat;o2sat_nonlinear;sbp;sbp_nonlinear,True
icu,icu72,ecg,M1,all,35878,19557,5269,ok,1.0199579192762827,0.024654739927836632,2.7730780683769556,2.6422623923459123,2.9103702931205837,0.0,,intercept;score_z;male;age;age_nonlinear,True
icu,icu72,ecg,M2,all,35878,19557,5269,ok,0.9601561557073681,0.02489185705422728,2.6121043365776067,2.4877259307859787,2.7427012681464613,0.0,0.0,intercept;score_z;male;age;age_nonlinear;temperature_c;temperature_c_nonlinear;resprate;resprate_nonlinear;o2sat;o2sat_nonlinear;sbp;sbp_nonlinear,True
icu,icu72,fusion,M2,all,35878,19557,5269,ok,1.4302191320116058,0.030525543429664712,4.179614979018537,3.9368864361931983,4.437308938412784,0.0,,intercept;score_z;male;age;age_nonlinear;temperature_c;temperature_c_nonlinear;resprate;resprate_nonlinear;o2sat;o2sat_nonlinear;sbp;sbp_nonlinear,True
icu,icu72,ecg_single,M2,single_run,35878,19557,5269,ok,0.9152210871784305,0.022872635161441068,2.4973273179256177,2.387845621984585,2.611828702591821,0.0,,intercept;score_z;male;age;age_nonlinear;temperature_c;temperature_c_nonlinear;resprate;resprate_nonlinear;o2sat;o2sat_nonlinear;sbp;sbp_nonlinear,True
icu,icu72,ecg,M2,first_encounter,19544,19544,3078,ok,1.0248613846609647,0.029256530271331755,2.786709153158345,2.631409512704361,2.951174215493149,7.814524183536555e-269,,intercept;score_z;male;age;age_nonlinear;temperature_c;temperature_c_nonlinear;resprate;resprate_nonlinear;o2sat;o2sat_nonlinear;sbp;sbp_nonlinear,True
icu,icu72,ecg,M2,landmark60,35542,19351,5088,ok,0.9490615973713565,0.02518511663545835,2.5832843607059073,2.458864543778406,2.71399988468382,0.0,,intercept;score_z;male;age;age_nonlinear;temperature_c;temperature_c_nonlinear;resprate;resprate_nonlinear;o2sat;o2sat_nonlinear;sbp;sbp_nonlinear,True
icu,icu72,fusion,M2,landmark60,35542,19351,5088,ok,1.4114077730605723,0.030921511247946863,4.101725640384984,3.8605232244530154,4.3579981911325945,0.0,,intercept;score_z;male;age;age_nonlinear;temperature_c;temperature_c_nonlinear;resprate;resprate_nonlinear;o2sat;o2sat_nonlinear;sbp;sbp_nonlinear,True
