subset,endpoint,model,metric,estimate,ci_low,ci_high,n,events,prevalence,n_boot,seed,n_boot_valid
all,icu24,ecg,auroc,0.742942945799811,0.7350244819346093,0.7511643132223659,35879,4944,0.13779648262214667,2000,20260917,2000
all,icu24,ecg,average_precision,0.322963102602078,0.30897667493357284,0.3371716982579701,35879,4944,0.13779648262214667,2000,20260917,2000
all,icu24,fusion,auroc,0.7725583918258505,0.7648433738507372,0.7805343130031077,35879,4944,0.13779648262214667,2000,20260917,2000
all,icu24,fusion,average_precision,0.37606691942895126,0.36066345763548135,0.39215651016989705,35879,4944,0.13779648262214667,2000,20260917,2000
all,icu24,clinical_ecg,auroc,0.7318532424966642,0.7241985512851993,0.7399100470488287,35879,4944,0.13779648262214667,2000,20260917,2000
all,icu24,clinical_ecg,average_precision,0.3016734599329819,0.2894499337038036,0.31436525104480006,35879,4944,0.13779648262214667,2000,20260917,2000
all,icu24,fusion_minus_clinical_ecg,auroc,0.04070514932918634,0.03523222171888267,0.04587395146766722,35879,4944,0.13779648262214667,2000,20260917,2000
all,icu24,fusion_minus_clinical_ecg,average_precision,0.07439345949596937,0.06272266851553965,0.0849045463040255,35879,4944,0.13779648262214667,2000,20260917,2000
all,icu24,ecg_minus_clinical_ecg,auroc,0.011089703303146847,0.0021349564861477795,0.019947677398116665,35879,4944,0.13779648262214667,2000,20260917,2000
all,icu24,ecg_minus_clinical_ecg,average_precision,0.02128964266909611,0.007673072145888725,0.03467658999371299,35879,4944,0.13779648262214667,2000,20260917,2000
all,icu72,ecg,auroc,0.7404586373026627,0.7326824222112656,0.7482547899406374,35879,5269,0.14685470609548762,2000,20260918,2000
all,icu72,ecg,average_precision,0.3340510325621794,0.32125195917369354,0.3488072459123364,35879,5269,0.14685470609548762,2000,20260918,2000
all,icu72,fusion,auroc,0.7676544537034,0.7600283266429286,0.7751409571832701,35879,5269,0.14685470609548762,2000,20260918,2000
all,icu72,fusion,average_precision,0.38444159702703196,0.3695416891958368,0.4003895840013455,35879,5269,0.14685470609548762,2000,20260918,2000
all,icu72,clinical_ecg,auroc,0.727134809143295,0.7188150552271765,0.7350285902793928,35879,5269,0.14685470609548762,2000,20260918,2000
all,icu72,clinical_ecg,average_precision,0.3112770092488735,0.2988857180858395,0.32519622522486286,35879,5269,0.14685470609548762,2000,20260918,2000
all,icu72,fusion_minus_clinical_ecg,auroc,0.04051964456010504,0.034997488461339696,0.04572153357097358,35879,5269,0.14685470609548762,2000,20260918,2000
all,icu72,fusion_minus_clinical_ecg,average_precision,0.07316458777815843,0.06169702508914858,0.08406584960268491,35879,5269,0.14685470609548762,2000,20260918,2000
all,icu72,ecg_minus_clinical_ecg,auroc,0.013323828159367723,0.004634399752735946,0.02205595277657045,35879,5269,0.14685470609548762,2000,20260918,2000
all,icu72,ecg_minus_clinical_ecg,average_precision,0.022774023313305858,0.009358545143508286,0.0364587229160709,35879,5269,0.14685470609548762,2000,20260918,2000
