stage,n
parent_test,35948
endpoint_eligible,35879
excluded_any,69
invalid_index_time_nonexclusive,0
parent_subject_mismatch_nonexclusive,0
ED_subject_mismatch_nonexclusive,0
hospital_subject_mismatch_nonexclusive,0
nonempty_ED_to_hospital_conflict_nonexclusive,0
ambiguous_ED_to_hospital_link_nonexclusive,20
missing_episode_link_nonexclusive,0
missing_hospital_record_nonexclusive,0
missing_hospital_transfers_nonexclusive,0
hospital_source_start_mismatch_nonexclusive,0
index_before_episode_start_nonexclusive,0
unascertainable_episode_disposition_nonexclusive,0
unascertainable_death_time_nonexclusive,0
index_at_or_after_terminal_discharge_nonexclusive,9
death_at_or_before_index_nonexclusive,2
prior_or_current_ICU_nonexclusive,38
ICU_terminal_timestamp_tie_nonexclusive,1
landmark60_eligible,35543
24h_no_event_at_horizon,17739
24h_discharge,13182
24h_ICU,4944
24h_excluded,69
24h_death,11
24h_terminal_timestamp_conflict,3
landmark60_icu24,4763
72h_discharge,21764
72h_no_event_at_horizon,8811
72h_ICU,5269
72h_excluded,69
72h_death,32
72h_terminal_timestamp_conflict,3
landmark60_icu72,5088
24h_ICU_with_terminal_death_timestamp_conflict,30
24h_no_event_at_horizon_with_terminal_death_timestamp_conflict,11
24h_excluded_with_terminal_death_timestamp_conflict,6
24h_terminal_timestamp_conflict_with_terminal_death_timestamp_conflict,3
72h_ICU_with_terminal_death_timestamp_conflict,31
72h_no_event_at_horizon_with_terminal_death_timestamp_conflict,10
72h_excluded_with_terminal_death_timestamp_conflict,6
72h_terminal_timestamp_conflict_with_terminal_death_timestamp_conflict,3
