subset,stratum,endpoint,n,events,proportion,ci_low,ci_high,n_boot,seed,n_boot_valid
all,Low,icu24,27004,2080,0.07702562583320989,0.07337245084147467,0.08076850998617237,2000,20260907,2000
all,Low,icu72,27004,2278,0.08435787290771737,0.08069368964742869,0.08825556726036082,2000,20260907,2000
all,Intermediate,icu24,7109,1961,0.27584751723167816,0.2637883410820104,0.288143316940236,2000,20260907,2000
all,Intermediate,icu72,7109,2064,0.2903361935574624,0.27822689680244717,0.3027269531941442,2000,20260907,2000
all,High,icu24,1766,903,0.5113250283125708,0.4852205698813536,0.5383286898835853,2000,20260907,2000
all,High,icu72,1766,927,0.5249150622876557,0.4991209310694748,0.5528808758703085,2000,20260907,2000
landmark60,Low,icu24,26796,2024,0.0755336617405583,0.07186515268060022,0.0791436134487043,2000,20260908,2000
landmark60,Low,icu72,26796,2222,0.08292282430213464,0.0790593959093849,0.08665658779798548,2000,20260908,2000
landmark60,Intermediate,icu24,7033,1887,0.2683065548130243,0.2556239526860709,0.280618241990509,2000,20260908,2000
landmark60,Intermediate,icu72,7033,1990,0.2829517986634438,0.2700440429136081,0.295234459334706,2000,20260908,2000
landmark60,High,icu24,1714,852,0.4970828471411902,0.47065582122297184,0.5235755869440732,2000,20260908,2000
landmark60,High,icu72,1714,876,0.5110851808634772,0.4840640564032025,0.5378737012136557,2000,20260908,2000
