domain,endpoint,score,adjustment,subset,n,patients,events,status,beta,se,or,ci_low,ci_high,p,q,design_columns,converged,warning_count
support,imv24,ecg,M1,all,35312,19307,1208,ok,1.2987720529917355,0.047014266637057496,3.6647937310033933,3.342188338537742,4.018538672981521,5.564662939067211e-168,,intercept;score_z;male;age;age_nonlinear,True,0
support,imv24,ecg,M2,all,35312,19307,1208,ok,1.2733321958710406,0.04749597673585761,3.572737811552988,3.255161179864922,3.92129752254852,2.5198309385802676e-158,1.007932375432107e-157,intercept;score_z;male;age;age_nonlinear;temperature_c;temperature_c_nonlinear;resprate;resprate_nonlinear;o2sat;o2sat_nonlinear;sbp;sbp_nonlinear,True,0
support,imv24,fusion,M2,all,35312,19307,1208,ok,1.942330238486453,0.05855096804387529,6.974985427698912,6.2187719393890575,7.823155791976458,2.6112992171424024e-241,,intercept;score_z;male;age;age_nonlinear;temperature_c;temperature_c_nonlinear;resprate;resprate_nonlinear;o2sat;o2sat_nonlinear;sbp;sbp_nonlinear,True,0
support,imv24,ecg,M2,first_encounter,19185,19185,800,ok,1.399849327945427,0.05577274825523428,4.054589007562367,3.6347369775026395,4.522938557039961,5.079010369434853e-139,,intercept;score_z;male;age;age_nonlinear;temperature_c;temperature_c_nonlinear;resprate;resprate_nonlinear;o2sat;o2sat_nonlinear;sbp;sbp_nonlinear,True,0
support,imv24,ecg_single,M2,single_run,35312,19307,1208,ok,1.1857634851533936,0.04134837632476355,3.2731848957955267,3.0183857141569432,3.5494931319791236,7.30427958610864e-181,,intercept;score_z;male;age;age_nonlinear;temperature_c;temperature_c_nonlinear;resprate;resprate_nonlinear;o2sat;o2sat_nonlinear;sbp;sbp_nonlinear,True,0
support,imv24,ecg,M2,landmark60,35129,19183,1180,ok,1.2718969902301196,0.04790396492416382,3.567613875922506,3.2478945130477235,3.9188060808450844,2.5024567102546505e-155,,intercept;score_z;male;age;age_nonlinear;temperature_c;temperature_c_nonlinear;resprate;resprate_nonlinear;o2sat;o2sat_nonlinear;sbp;sbp_nonlinear,True,0
support,imv24,ecg,M2,raw_state,35312,19307,1362,ok,1.284638984792592,0.04521465745612162,3.6133632426402347,3.306928736920635,3.948193312270007,1.4372984206187352e-177,,intercept;score_z;male;age;age_nonlinear;temperature_c;temperature_c_nonlinear;resprate;resprate_nonlinear;o2sat;o2sat_nonlinear;sbp;sbp_nonlinear,True,0
support,imv72,ecg,M1,all,35312,19307,1394,ok,1.1960159863316622,0.043249309462690975,3.306915845632716,3.0381503642296046,3.599457268096652,2.49887302523775e-168,,intercept;score_z;male;age;age_nonlinear,True,0
support,imv72,ecg,M2,all,35312,19307,1394,ok,1.166164522012768,0.043564837254295594,3.2096584256100718,2.946974379619634,3.495757302925515,7.525127001926413e-158,1.5050254003852826e-157,intercept;score_z;male;age;age_nonlinear;temperature_c;temperature_c_nonlinear;resprate;resprate_nonlinear;o2sat;o2sat_nonlinear;sbp;sbp_nonlinear,True,0
support,imv72,fusion,M2,all,35312,19307,1394,ok,1.779183498777104,0.05354923307084447,5.925016659677183,5.334680153956712,6.580679891635923,4.659598001576506e-242,,intercept;score_z;male;age;age_nonlinear;temperature_c;temperature_c_nonlinear;resprate;resprate_nonlinear;o2sat;o2sat_nonlinear;sbp;sbp_nonlinear,True,0
support,imv72,ecg,M2,first_encounter,19185,19185,914,ok,1.2889405474458868,0.051270640506857826,3.6289398288299104,3.2819965405120706,4.012558855169709,1.8209311310811164e-139,,intercept;score_z;male;age;age_nonlinear;temperature_c;temperature_c_nonlinear;resprate;resprate_nonlinear;o2sat;o2sat_nonlinear;sbp;sbp_nonlinear,True,0
support,imv72,ecg_single,M2,single_run,35312,19307,1394,ok,1.0888875876821549,0.03831306361122858,2.9709672930402364,2.756041367085938,3.202653908510656,1.1193227874448093e-177,,intercept;score_z;male;age;age_nonlinear;temperature_c;temperature_c_nonlinear;resprate;resprate_nonlinear;o2sat;o2sat_nonlinear;sbp;sbp_nonlinear,True,0
support,imv72,ecg,M2,landmark60,35129,19183,1366,ok,1.1622796412310934,0.043873925503297016,3.1972134745042746,2.933770123250364,3.484313212047579,1.2191902598741509e-154,,intercept;score_z;male;age;age_nonlinear;temperature_c;temperature_c_nonlinear;resprate;resprate_nonlinear;o2sat;o2sat_nonlinear;sbp;sbp_nonlinear,True,0
support,imv72,ecg,M2,raw_state,35312,19307,1562,ok,1.174987707531424,0.04182482897196432,3.2381031393122273,2.9832477292082373,3.5147305529355193,1.1905878940417142e-173,,intercept;score_z;male;age;age_nonlinear;temperature_c;temperature_c_nonlinear;resprate;resprate_nonlinear;o2sat;o2sat_nonlinear;sbp;sbp_nonlinear,True,0
support,pressor24,ecg,M1,all,35316,19311,927,ok,1.5139278656765112,0.05955618469936302,4.544546150085475,4.0438608380459895,5.107223155640608,1.5096660713211435e-142,,intercept;score_z;male;age;age_nonlinear,True,0
support,pressor24,ecg,M2,all,35316,19311,927,ok,1.3987073774226813,0.06107575703332847,4.049961510215043,3.5930488118741604,4.564977848343734,4.5212716405105506e-116,4.5212716405105506e-116,intercept;score_z;male;age;age_nonlinear;temperature_c;temperature_c_nonlinear;resprate;resprate_nonlinear;o2sat;o2sat_nonlinear;sbp;sbp_nonlinear,True,0
support,pressor24,fusion,M2,all,35316,19311,927,ok,2.0392245773631297,0.07412853574914627,7.6846480379231314,6.645469319052411,8.886327305349207,1.3587060693553878e-166,,intercept;score_z;male;age;age_nonlinear;temperature_c;temperature_c_nonlinear;resprate;resprate_nonlinear;o2sat;o2sat_nonlinear;sbp;sbp_nonlinear,True,0
support,pressor24,ecg,M2,first_encounter,19189,19189,546,ok,1.6463974434525361,0.07624543382201146,5.1882551365407545,4.468081577349347,6.024507586947506,2.0723664757497584e-103,,intercept;score_z;male;age;age_nonlinear;temperature_c;temperature_c_nonlinear;resprate;resprate_nonlinear;o2sat;o2sat_nonlinear;sbp;sbp_nonlinear,True,0
support,pressor24,ecg_single,M2,single_run,35316,19311,927,ok,1.2229499827003023,0.052404280494749794,3.3971946316692567,3.065588263374257,3.764671043181594,1.8750846969635568e-120,,intercept;score_z;male;age;age_nonlinear;temperature_c;temperature_c_nonlinear;resprate;resprate_nonlinear;o2sat;o2sat_nonlinear;sbp;sbp_nonlinear,True,0
support,pressor24,ecg,M2,landmark60,35155,19204,921,ok,1.3929615469735337,0.06126807938631518,4.026757844055765,3.5711165927754016,4.540534679676426,1.996023185829591e-114,,intercept;score_z;male;age;age_nonlinear;temperature_c;temperature_c_nonlinear;resprate;resprate_nonlinear;o2sat;o2sat_nonlinear;sbp;sbp_nonlinear,True,0
support,pressor24,ecg,M2,no_dopamine,35316,19311,867,ok,1.394625117136103,0.06320993358903683,4.033462213305173,3.5634740431209213,4.565437331462163,7.10608041202743e-108,,intercept;score_z;male;age;age_nonlinear;temperature_c;temperature_c_nonlinear;resprate;resprate_nonlinear;o2sat;o2sat_nonlinear;sbp;sbp_nonlinear,True,0
support,pressor24,ecg,M2,no_bolus,35316,19311,927,ok,1.3987073774226813,0.06107575703332847,4.049961510215043,3.5930488118741604,4.564977848343734,4.5212716405105506e-116,,intercept;score_z;male;age;age_nonlinear;temperature_c;temperature_c_nonlinear;resprate;resprate_nonlinear;o2sat;o2sat_nonlinear;sbp;sbp_nonlinear,True,0
support,pressor72,ecg,M1,all,35316,19311,1094,ok,1.4233232320750004,0.05350320955647657,4.150891921837036,3.7376567150541056,4.609814399855215,6.337759875954454e-156,,intercept;score_z;male;age;age_nonlinear,True,0
support,pressor72,ecg,M2,all,35316,19311,1094,ok,1.312708562119276,0.054627570211729364,3.7162257210343235,3.338896929932516,4.136196444361703,1.346476088385457e-127,1.7953014511806092e-127,intercept;score_z;male;age;age_nonlinear;temperature_c;temperature_c_nonlinear;resprate;resprate_nonlinear;o2sat;o2sat_nonlinear;sbp;sbp_nonlinear,True,0
support,pressor72,fusion,M2,all,35316,19311,1094,ok,1.880534470728351,0.06619490708058419,6.557008454908568,5.759178464764342,7.465363357081124,1.5632180050363582e-177,,intercept;score_z;male;age;age_nonlinear;temperature_c;temperature_c_nonlinear;resprate;resprate_nonlinear;o2sat;o2sat_nonlinear;sbp;sbp_nonlinear,True,0
support,pressor72,ecg,M2,first_encounter,19189,19189,655,ok,1.5314571024992025,0.06848024783416616,4.62491088420708,4.04401610297168,5.289247159807094,8.926006577602405e-111,,intercept;score_z;male;age;age_nonlinear;temperature_c;temperature_c_nonlinear;resprate;resprate_nonlinear;o2sat;o2sat_nonlinear;sbp;sbp_nonlinear,True,0
support,pressor72,ecg_single,M2,single_run,35316,19311,1094,ok,1.1517150752649048,0.04714507015681861,3.163614095773193,2.884387105746836,3.4698720317512346,8.379157008999684e-132,,intercept;score_z;male;age;age_nonlinear;temperature_c;temperature_c_nonlinear;resprate;resprate_nonlinear;o2sat;o2sat_nonlinear;sbp;sbp_nonlinear,True,0
