stage,n
IMV_episode_starts_after_terminal,4
imv24,1208
imv72,1394
imv_eligible,35313
imv_exclude_ICU_transfer_not_covered_by_icustays,562
imv_exclude_baseline_support_or_airway_record,14
imv_exclude_parent_ICU_risk_set_excluded,69
imv_landmark60_24,1180
imv_landmark60_72,1366
imv_landmark60_eligible,35130
pressor24,927
pressor72,1094
pressor_eligible,35317
pressor_episode_starts_after_terminal,51
pressor_exclude_ICU_transfer_not_covered_by_icustays,562
pressor_exclude_baseline_support_or_airway_record,1
pressor_exclude_parent_ICU_risk_set_excluded,69
pressor_landmark60_24,921
pressor_landmark60_72,1088
pressor_landmark60_eligible,35156
