endpoint,stratum,n,events,proportion,ci_low,ci_high,n_boot,n_boot_valid,seed
imv24,Low,26785,349,0.013029680791487773,0.011552309867061204,0.01448536690810233,2000,2000,20261001
imv24,Intermediate,6857,509,0.07423071313985707,0.06794873653221167,0.08107298506237283,2000,2000,20261001
imv24,High,1671,350,0.2094554159186116,0.18891519470030138,0.2302835627620857,2000,2000,20261001
imv72,Low,26785,452,0.01687511666977786,0.015283603917196709,0.018640716334564617,2000,2000,20261002
imv72,Intermediate,6857,564,0.0822517135773662,0.0754854696874445,0.08961572308594896,2000,2000,20261002
imv72,High,1671,378,0.22621184919210055,0.20467768257853935,0.2486689380344619,2000,2000,20261002
pressor24,Low,26785,242,0.009034907597535934,0.007909848972662979,0.0102884242331075,2000,2000,20261003
pressor24,Intermediate,6861,378,0.055094009619588984,0.04906001170274869,0.061218514123952586,2000,2000,20261003
pressor24,High,1671,307,0.18372232196289648,0.16579679472433095,0.20275857596772195,2000,2000,20261003
pressor72,Low,26785,312,0.011648310621616576,0.010312978757115274,0.013029748985192583,2000,2000,20261004
pressor72,Intermediate,6861,442,0.06442209590438712,0.05813371966607733,0.07101062418009872,2000,2000,20261004
pressor72,High,1671,340,0.20347097546379414,0.18368388896074392,0.22510206406221855,2000,2000,20261004
